comb08,combE,make,model,VClass,year,youSaveSpend,atvType
18,0,Jaguar,F-Type R AWD Coupe,Two Seaters,2024,-8750,
18,0,Jaguar,F-Type R AWD Convertible,Two Seaters,2024,-8750,
19,0,Jaguar,F-Type P450 RWD Coupe,Two Seaters,2024,-7750,
19,0,Jaguar,F-Type P450 RWD Convertible,Two Seaters,2024,-7750,
18,0,Jaguar,F-Type P450 AWD R-Dynamic Coupe,Two Seaters,2024,-8750,
18,0,Jaguar,F-Type P450 AWD R-Dynamic Convertible,Two Seaters,2024,-8750,
30,0,Chevrolet,Trax,Small Station Wagons,2024,500,
23,0,Jaguar,E-Pace,Small Sport Utility Vehicle 4WD,2024,-5000,
22,0,Land Rover,Range Rover Evoque,Small Sport Utility Vehicle 4WD,2024,-5500,
20,0,Land Rover,Discovery Sport,Small Sport Utility Vehicle 4WD,2024,-7000,
31,0,Kia,Seltos FWD,Small Sport Utility Vehicle 2WD,2024,750,
26,0,Kia,Seltos AWD,Small Sport Utility Vehicle 4WD,2024,-750,
29,0,Kia,Seltos AWD,Small Sport Utility Vehicle 4WD,2024,250,
32,0,MINI,Cooper Convertible,Minicompact Cars,2024,-1250,
31,0,MINI,Cooper Convertible,Minicompact Cars,2024,-1500,
30,0,MINI,Cooper S Convertible,Minicompact Cars,2024,-1750,
27,0,MINI,Cooper S Convertible,Minicompact Cars,2024,-3000,
28,0,MINI,John Cooper Works Convertible,Minicompact Cars,2024,-2500,
28,0,BMW,430i Coupe,Subcompact Cars,2024,-2500,
27,0,BMW,430i xDrive Coupe,Subcompact Cars,2024,-3000,
28,0,BMW,430i Convertible,Subcompact Cars,2024,-2500,
27,0,BMW,430i xDrive Convertible,Subcompact Cars,2024,-3000,
19,0,BMW,M4 Coupe,Subcompact Cars,2024,-7750,
19,0,BMW,M4 Competition Coupe,Subcompact Cars,2024,-7750,
18,0,BMW,M4 Competition M xDrive Coupe,Subcompact Cars,2024,-8750,
18,0,BMW,M4 Competition M xDrive Convertible,Subcompact Cars,2024,-8750,
24,0,BMW,840i Coupe,Subcompact Cars,2024,-4500,
24,0,BMW,840i xDrive Coupe,Subcompact Cars,2024,-4500,
24,0,BMW,840i Convertible,Subcompact Cars,2024,-4500,
24,0,BMW,840i xDrive Convertible,Subcompact Cars,2024,-4500,
19,0,BMW,M850i xDrive Coupe,Subcompact Cars,2024,-7750,
19,0,BMW,M850i xDrive Convertible,Subcompact Cars,2024,-7750,
17,0,BMW,M8 Competition Coupe,Subcompact Cars,2024,-9750,
17,0,BMW,M8 Competition Convertible,Subcompact Cars,2024,-9750,
32,0,MINI,Cooper Hardtop 2 door,Subcompact Cars,2024,-1250,
31,0,MINI,Cooper Hardtop 2 door,Subcompact Cars,2024,-1500,
32,0,MINI,Cooper Hardtop 4 door,Subcompact Cars,2024,-1250,
31,0,MINI,Cooper Hardtop 4 door,Subcompact Cars,2024,-1500,
31,0,MINI,Cooper S Hardtop 2 door,Subcompact Cars,2024,-1500,
27,0,MINI,Cooper S Hardtop 2 door,Subcompact Cars,2024,-3000,
31,0,MINI,Cooper S Hardtop 4 door,Subcompact Cars,2024,-1500,
27,0,MINI,Cooper S Hardtop 4 door,Subcompact Cars,2024,-3000,
29,0,MINI,John Cooper Works Hardtop 2 door,Subcompact Cars,2024,-2250,
26,0,MINI,John Cooper Works Hardtop 2 door,Subcompact Cars,2024,-3500,
28,0,BMW,430i Gran Coupe,Compact Cars,2024,-2500,
27,0,BMW,430i xDrive Gran Coupe,Compact Cars,2024,-3000,
24,0,BMW,840i Gran Coupe,Midsize Cars,2024,-4500,
24,0,BMW,840i xDrive Gran Coupe,Midsize Cars,2024,-4500,
19,0,BMW,M850i xDrive Gran Coupe,Midsize Cars,2024,-7750,
19,0,BMW,Alpina B8 Gran Coupe,Midsize Cars,2024,-7750,
17,0,BMW,M8 Competition Gran Coupe,Midsize Cars,2024,-9750,
28,0,MINI,Cooper Countryman,Midsize Cars,2024,-2500,
26,0,MINI,Cooper Countryman All4,Midsize Cars,2024,-3500,
26,0,MINI,John Cooper Works Clubman All4,Midsize Cars,2024,-3500,
26,0,MINI,JCW Countryman All4,Midsize Cars,2024,-3500,
22,0,Kia,Carnival,Minivan - 2WD,2024,-2500,
22,0,Genesis,GV80 AWD,Standard Sport Utility Vehicle 4WD,2024,-5500,
20,0,Genesis,GV80 AWD,Standard Sport Utility Vehicle 4WD,2024,-7000,
27,0,BMW,M440i Coupe,Subcompact Cars,2024,-3000,Hybrid
25,0,BMW,M440i xDrive Coupe,Subcompact Cars,2024,-4000,Hybrid
26,0,BMW,M440i Convertible,Subcompact Cars,2024,-3500,Hybrid
25,0,BMW,M440i xDrive Convertible,Subcompact Cars,2024,-4000,Hybrid
27,0,BMW,M440i Gran Coupe,Compact Cars,2024,-3000,Hybrid
25,0,BMW,M440i xDrive Gran Coupe,Compact Cars,2024,-4000,Hybrid
30,0,Subaru,Legacy AWD,Midsize Cars,2024,500,
26,0,Subaru,Legacy AWD,Midsize Cars,2024,-750,
30,0,Subaru,Impreza,Small Station Wagons,2024,500,
29,0,Subaru,Impreza,Small Station Wagons,2024,250,
30,0,Buick,Encore GX FWD,Small Sport Utility Vehicle 2WD,2024,500,
28,0,Lexus,NX 250,Small Sport Utility Vehicle 2WD,2024,0,
27,0,Buick,Encore GX AWD,Small Sport Utility Vehicle 4WD,2024,-500,
17,0,Jaguar,F-Pace SVR,Small Sport Utility Vehicle 4WD,2024,-9750,
28,0,Lexus,NX 250 AWD,Small Sport Utility Vehicle 4WD,2024,0,
39,0,Lexus,NX 350h AWD,Small Sport Utility Vehicle 4WD,2024,500,Hybrid
24,0,Lexus,NX 350 AWD,Small Sport Utility Vehicle 4WD,2024,-4500,
24,0,Lexus,NX 350 AWD F Sport,Small Sport Utility Vehicle 4WD,2024,-4500,
29,0,Subaru,Crosstrek AWD,Small Sport Utility Vehicle 4WD,2024,250,
28,0,Subaru,Outback AWD,Small Sport Utility Vehicle 4WD,2024,0,
25,0,Subaru,Outback AWD,Small Sport Utility Vehicle 4WD,2024,-1250,
23,0,Subaru,Outback Wilderness AWD,Small Sport Utility Vehicle 4WD,2024,-2000,
25,0,BMW,X5 sDrive40i,Standard Sport Utility Vehicle 2WD,2024,-4000,Hybrid
25,0,BMW,X5 xDrive40i,Standard Sport Utility Vehicle 4WD,2024,-4000,Hybrid
19,0,BMW,X5 M60i xDrive,Standard Sport Utility Vehicle 4WD,2024,-7750,Hybrid
15,0,BMW,X5 M Competition,Standard Sport Utility Vehicle 4WD,2024,-12250,Hybrid
24,0,BMW,X6 xDrive40i,Standard Sport Utility Vehicle 4WD,2024,-4500,Hybrid
19,0,BMW,X6 M60i xDrive,Standard Sport Utility Vehicle 4WD,2024,-7750,Hybrid
15,0,BMW,X6 M Competition,Standard Sport Utility Vehicle 4WD,2024,-12250,Hybrid
22,0,BMW,X7 xDrive40i,Standard Sport Utility Vehicle 4WD,2024,-5500,Hybrid
18,0,BMW,X7 M60i xDrive,Standard Sport Utility Vehicle 4WD,2024,-8750,Hybrid
18,0,BMW,M3 CS Sedan,Compact Cars,2024,-8750,
42,0,Lexus,UX 250h,Compact Cars,2024,2750,Hybrid
39,0,Lexus,UX 250h AWD,Compact Cars,2024,2250,Hybrid
29,0,MINI,Cooper S Clubman,Midsize Cars,2024,-2250,
