co2,comb08,combE,hpv,make,model,trany,VClass,year,youSaveSpend,atvType
-1,27,0,77,Dodge,Charger,Manual 5-spd,Small Cars,1985,-500,
-1,21,0,88,Volkswagen,Golf III / GTI,Automatic 4-spd,Small Cars,1993,-3000,
-1,24,0,88,Volkswagen,Golf III / GTI,Manual 5-spd,Small Cars,1993,-1500,
-1,15,0,97,CX Automotive,XM v6,Manual 5-spd,Midsize Cars,1993,-12250,
-1,15,0,97,CX Automotive,XM v6a,Automatic 4-spd,Midsize Cars,1993,-12250,
-1,23,0,97,Mazda,626,Automatic 4-spd,Midsize Cars,1993,-2000,
-1,26,0,97,Mazda,626,Manual 5-spd,Midsize Cars,1993,-750,
-1,19,0,97,Mazda,626,Automatic 4-spd,Midsize Cars,1993,-7750,
-1,20,0,97,Mazda,626,Manual 5-spd,Midsize Cars,1993,-7000,
-1,21,0,77,Dodge,Charger,Manual 5-spd,Small Cars,1985,-6250,
-1,18,0,99,Saab,9000,Automatic 4-spd,Large Cars,1993,-5000,
-1,19,0,99,Saab,9000,Manual 5-spd,Large Cars,1993,-4250,
-1,20,0,96,Eagle,Summit Wagon,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,23,0,96,Eagle,Summit Wagon,Automatic 4-spd,Midsize Cars,1993,-2000,
-1,21,0,96,Eagle,Summit Wagon,Manual 5-spd,Midsize Cars,1993,-3000,
-1,23,0,96,Eagle,Summit Wagon,Manual 5-spd,Midsize Cars,1993,-2000,
-1,19,0,96,Eagle,Summit Wagon,Automatic 4-spd,Midsize Cars,1993,-4250,
-1,20,0,96,Eagle,Summit Wagon,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,19,0,96,Eagle,Summit Wagon,Manual 5-spd,Midsize Cars,1993,-4250,
-1,21,0,96,Eagle,Summit Wagon,Manual 5-spd,Midsize Cars,1993,-3000,
-1,23,0,96,Mitsubishi,Expo.LRV,Automatic 4-spd,Midsize Cars,1993,-2000,
-1,20,0,96,Mitsubishi,Expo.LRV,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,23,0,96,Mitsubishi,Expo.LRV,Manual 5-spd,Midsize Cars,1993,-2000,
-1,21,0,96,Mitsubishi,Expo.LRV,Manual 5-spd,Midsize Cars,1993,-3000,
-1,20,0,96,Mitsubishi,Expo.LRV,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,19,0,96,Mitsubishi,Expo.LRV,Automatic 4-spd,Midsize Cars,1993,-4250,
-1,21,0,96,Mitsubishi,Expo.LRV,Manual 5-spd,Midsize Cars,1993,-3000,
-1,19,0,96,Mitsubishi,Expo.LRV,Manual 5-spd,Midsize Cars,1993,-4250,
-1,23,0,96,Plymouth,Colt Vista,Automatic 4-spd,Midsize Cars,1993,-2000,
-1,20,0,96,Plymouth,Colt Vista,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,23,0,96,Plymouth,Colt Vista,Manual 5-spd,Midsize Cars,1993,-2000,
-1,21,0,96,Plymouth,Colt Vista,Manual 5-spd,Midsize Cars,1993,-3000,
-1,19,0,96,Plymouth,Colt Vista,Automatic 4-spd,Midsize Cars,1993,-4250,
-1,20,0,96,Plymouth,Colt Vista,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,19,0,96,Plymouth,Colt Vista,Manual 5-spd,Midsize Cars,1993,-4250,
-1,21,0,96,Plymouth,Colt Vista,Manual 5-spd,Midsize Cars,1993,-3000,
-1,20,0,91,Volvo,240 Wagon,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,21,0,91,Volvo,240 Wagon,Manual 5-spd,Midsize Cars,1993,-3000,
-1,20,0,95,Volvo,940 Wagon,Automatic 4-spd,Midsize Cars,1993,-3500,
-1,18,0,95,Volvo,960 Wagon,Automatic 4-spd,Midsize Cars,1993,-5000,
-1,27,0,81,Dodge,Colt,Automatic 3-spd,Small Cars,1985,-500,
-1,34,0,81,Dodge,Colt,Manual 4-spd,Small Cars,1985,1500,
-1,30,0,81,Dodge,Colt,Manual 5-spd,Small Cars,1985,500,
-1,15,0,74,Porsche,928 GTS,Automatic 4-spd,Small Cars,1994,-12250,
-1,13,0,74,Porsche,928 GTS,Manual 5-spd,Small Cars,1994,-10000,
-1,18,0,63,Porsche,968,Automatic 4-spd,Small Cars,1994,-5000,
-1,18,0,63,Porsche,968,Manual 6-spd,Small Cars,1994,-5000,
-1,18,0,69,Toyota,Supra,Automatic 4-spd,Small Cars,1994,-8750,
-1,18,0,69,Toyota,Supra,Manual 5-spd,Small Cars,1994,-8750,
-1,24,0,77,Acura,Integra,Manual 5-spd,Small Cars,1994,-4500,
-1,24,0,77,Acura,Integra,Automatic 4-spd,Small Cars,1994,-1500,
-1,25,0,77,Acura,Integra,Manual 5-spd,Small Cars,1994,-1250,
-1,20,0,82,Chevrolet,Camaro,Automatic 4-spd,Small Cars,1994,-3500,
-1,20,0,82,Chevrolet,Camaro,Manual 5-spd,Small Cars,1994,-3500,
-1,18,0,82,Chevrolet,Camaro,Automatic 4-spd,Small Cars,1994,-8750,
-1,18,0,82,Chevrolet,Camaro,Manual 6-spd,Small Cars,1994,-8750,
-1,18,0,75,Nissan,300ZX 2x2,Automatic 4-spd,Small Cars,1994,-8750,
-1,18,0,75,Nissan,300ZX 2x2,Manual 5-spd,Small Cars,1994,-8750,
-1,18,0,82,Dodge,Stealth,Automatic 4-spd,Small Cars,1994,-5000,
-1,18,0,82,Dodge,Stealth,Automatic 4-spd,Small Cars,1994,-5000,
-1,19,0,82,Dodge,Stealth,Manual 5-spd,Small Cars,1994,-4250,
-1,19,0,82,Dodge,Stealth,Manual 5-spd,Small Cars,1994,-4250,
-1,23,0,81,Eagle,Talon,Automatic 4-spd,Small Cars,1994,-2000,
-1,24,0,81,Eagle,Talon,Manual 5-spd,Small Cars,1994,-1500,
-1,21,0,81,Eagle,Talon,Automatic 4-spd,Small Cars,1994,-3000,
-1,22,0,81,Eagle,Talon,Manual 5-spd,Small Cars,1994,-2500,
-1,27,0,82,Ford,Aspire,Automatic 3-spd,Small Cars,1994,-500,
-1,34,0,82,Ford,Aspire,Manual 5-spd,Small Cars,1994,1500,
-1,23,0,79,Ford,Probe,Automatic 4-spd,Small Cars,1994,-2000,
-1,26,0,79,Ford,Probe,Manual 5-spd,Small Cars,1994,-750,
-1,20,0,79,Ford,Probe,Automatic 4-spd,Small Cars,1994,-7000,
-1,20,0,79,Ford,Probe,Manual 5-spd,Small Cars,1994,-7000,
-1,33,0,82,Geo,Metro,Automatic 3-spd,Small Cars,1994,1250,
-1,40,0,82,Geo,Metro,Manual 5-spd,Small Cars,1994,2500,
-1,47,0,79,Geo,Metro XFI,Manual 5-spd,Small Cars,1994,3500,
-1,28,0,77,Honda,Civic,Automatic 4-spd,Small Cars,1994,0,
-1,38,0,77,Honda,Civic,Manual 5-spd,Small Cars,1994,2250,
-1,36,0,77,Honda,Civic,Manual 5-spd,Small Cars,1994,1750,
-1,32,0,77,Honda,Civic,Manual 5-spd,Small Cars,1994,1000,
-1,26,0,77,Honda,Civic,Automatic 4-spd,Small Cars,1994,-750,
-1,28,0,77,Honda,Civic,Manual 5-spd,Small Cars,1994,0,
-1,43,0,77,Honda,Civic HB VX,Manual 5-spd,Small Cars,1994,3000,
-1,40,0,77,Honda,Civic HB VX,Manual 5-spd,Small Cars,1994,2500,
-1,27,0,86,Hyundai,Excel,Automatic 4-spd,Small Cars,1994,-500,
-1,27,0,86,Hyundai,Excel,Manual 5-spd,Small Cars,1994,-500,
-1,23,0,81,Mitsubishi,Eclipse,Automatic 4-spd,Small Cars,1994,-2000,
-1,24,0,81,Mitsubishi,Eclipse,Manual 5-spd,Small Cars,1994,-1500,
-1,21,0,81,Mitsubishi,Eclipse,Automatic 4-spd,Small Cars,1994,-3000,
-1,22,0,81,Mitsubishi,Eclipse,Manual 5-spd,Small Cars,1994,-2500,
-1,18,0,82,Mitsubishi,3000 GT,Automatic 4-spd,Small Cars,1994,-5000,
-1,19,0,82,Mitsubishi,3000 GT,Manual 5-spd,Small Cars,1994,-4250,
